Number,City,Colors Reported,Shape Reported,State,Time
123456,Ithaca,,TRIANGLE,NY,6/1/1930 22:00
54321,Willingboro,green,NaN,NJ,6/30/1930 20:00
87654,Holyoke,,OVAL,CO,2/15/1931 14:00
3456,Abilene,blue,DISK,KS,1/12/1900 0:00
7654,New York Worlds Fair,NaN,LIGHT,NY,4/18/1933 19:00
,Valley City,,n/a,N,9/15/1934 15:30
87654,Crater Lake,yellow,CIRCLE,CA,6/15/1935 0:00
6789,Alma,,DISK,MI,7/15/1936 0:00
,Eklutna,green,12,AK,10/15/1936 17:00
4567,Hubbard,red,CYLINDER,,6/15/1937 0:00
7654,Fontana,,LIGHT,CA,8/15/1937 21:00
,Waterloo,,FIREBALL,AL,6/1/1939 20:00
6543,Belton,red,SPHERE,Y,6/30/1939 20:00
876,Keokuk,,@,IA,7/7/1939 2:00
5432,Ludington,,DISK,MI,6/1/1941 13:00
,Eklutna,green,12,AK,10/15/1936 17:00
4567,Hubbard,red,CYLINDER,,6/15/1937 0:00
7654,Fontana,,LIGHT,CA,8/15/1937 21:00
,Waterloo,,FIREBALL,AL,6/1/1939 20:00
6543,Belton,red,???,Y,6/30/1939 20:00
876,Keokuk,not known,@,IA,7/7/1939 2:00
5432,Ludington,*****,DISK,MI,6/1/1941 13:00
7654,Fontana,,LIGHT,CA,8/15/1937 21:00
7654,Fontana,,LIGHT,CA,8/15/1937 21:00
7654,Fontana,,LIGHT,CA,8/15/1937 21:00
7654,Fontana,,LIGHT,CA,8/15/1937 21:00
7654,Fontana,,LIGHT,CA,8/15/1937 21:00
7654,Fontana,,LIGHT,CA,8/15/1937 21:00
7654,Fontana,,LIGHT,CA,8/15/1937 21:00
7654,Fontana,,LIGHT,CA,8/15/1937 21:00
7654,Fontana,,LIGHT,CA,8/15/1937 21:00
