Age,Agency_Code,Type,Claimed,Commision,Channel,Duration,Sales,Product Name,Destination
48,C2B,Airlines,No,0.7,Online,7,2.51,Customised Plan,ASIA
36,EPX,Travel Agency,No,0,Online,34,20,Customised Plan,ASIA
39,CWT,Travel Agency,No,5.94,Online,3,9.9,Customised Plan,Americas
36,EPX,Travel Agency,No,0,Online,4,26,Cancellation Plan,ASIA
33,JZI,Airlines,No,6.3,Online,53,18,Bronze Plan,ASIA
45,JZI,Airlines,Yes,15.75,Online,8,45,Bronze Plan,ASIA
61,CWT,Travel Agency,No,35.64,Online,30,59.4,Customised Plan,Americas
36,EPX,Travel Agency,No,0,Online,16,80,Cancellation Plan,ASIA
36,EPX,Travel Agency,No,0,Online,19,14,Cancellation Plan,ASIA
36,EPX,Travel Agency,No,0,Online,42,43,Cancellation Plan,ASIA
37,C2B,Airlines,Yes,46.96,Online,368,187.85,Silver Plan,ASIA
43,C2B,Airlines,Yes,15.88,Online,77,63.5,Silver Plan,ASIA
36,EPX,Travel Agency,No,0,Online,23,110,Customised Plan,EUROPE
52,C2B,Airlines,Yes,5.88,Online,7,23.5,Bronze Plan,ASIA
31,CWT,Travel Agency,No,23.76,Online,21,39.6,Customised Plan,ASIA
39,C2B,Airlines,Yes,54,Online,366,216,Silver Plan,ASIA
36,EPX,Travel Agency,No,0,Online,2,42,Customised Plan,ASIA
45,CWT,Travel Agency,No,59.4,Online,40,99,Customised Plan,Americas
23,JZI,Airlines,No,18.2,Online,33,52,Bronze Plan,ASIA
29,EPX,Travel Agency,No,0,Online,66,32,Cancellation Plan,ASIA
36,EPX,Travel Agency,No,0,Online,71,62,Cancellation Plan,ASIA
28,C2B,Airlines,No,17.25,Online,8,69,Gold Plan,ASIA
27,C2B,Airlines,Yes,6.25,Online,8,25,Silver Plan,ASIA
36,EPX,Travel Agency,No,0,Online,25,51,Cancellation Plan,ASIA
44,JZI,Airlines,No,14,Online,21,40,Bronze Plan,ASIA
36,EPX,Travel Agency,No,0,Online,29,30,Cancellation Plan,ASIA
36,EPX,Travel Agency,No,0,Online,42,27,Customised Plan,ASIA
36,EPX,Travel Agency,No,0,Online,31,20,Customised Plan,ASIA
46,JZI,Airlines,No,6.3,Online,36,18,Bronze Plan,ASIA
25,JZI,Airlines,No,25.55,Online,70,50,Bronze Plan,Americas
60,JZI,Airlines,No,7.7,Online,11,22,Bronze Plan,ASIA
30,C2B,Airlines,Yes,15,Online,27,60,Bronze Plan,ASIA
36,EPX,Travel Agency,Yes,0,Online,16,42,Customised Plan,ASIA
40,C2B,Airlines,Yes,20.38,Online,32,81.5,Silver Plan,ASIA
25,EPX,Travel Agency,Yes,0,Offline,20,37,Customised Plan,Americas
27,C2B,Airlines,Yes,9.75,Online,90,39,Silver Plan,ASIA
40,EPX,Travel Agency,No,0,Online,17,20,Customised Plan,ASIA
36,EPX,Travel Agency,No,0,Online,77,56,Cancellation Plan,EUROPE
29,JZI,Airlines,No,6.3,Online,4,18,Bronze Plan,ASIA
36,EPX,Travel Agency,No,0,Online,14,28,Customised Plan,ASIA
30,CWT,Travel Agency,Yes,16.25,Online,5,25,Gold Plan,ASIA
33,C2B,Airlines,Yes,7.38,Online,11,29.5,Bronze Plan,ASIA
48,C2B,Airlines,No,3.15,Online,75,11.24,Customised Plan,ASIA
39,EPX,Travel Agency,Yes,0,Online,3,20,Customised Plan,ASIA
36,EPX,Travel Agency,No,0,Online,3,24,Cancellation Plan,ASIA
32,C2B,Airlines,Yes,54,Online,366,216,Silver Plan,ASIA
26,C2B,Airlines,Yes,40.25,Online,366,161,Silver Plan,ASIA
36,EPX,Travel Agency,No,0,Online,35,43,Customised Plan,ASIA
52,JZI,Airlines,No,11.55,Online,90,33,Bronze Plan,ASIA
36,JZI,Airlines,No,7.7,Online,24,22,Bronze Plan,ASIA
32,EPX,Travel Agency,Yes,0,Online,22,17,Cancellation Plan,ASIA
28,C2B,Airlines,Yes,8.38,Online,71,33.5,Bronze Plan,ASIA
40,C2B,Airlines,Yes,63.21,Online,364,252.85,Silver Plan,ASIA
36,EPX,Travel Agency,No,0,Online,13,10,Cancellation Plan,ASIA
36,EPX,Travel Agency,No,0,Online,20,23,Cancellation Plan,ASIA
25,C2B,Airlines,No,7.38,Online,20,29.5,Bronze Plan,ASIA
33,CWT,Travel Agency,Yes,41.58,Online,31,69.3,Customised Plan,ASIA
36,EPX,Travel Agency,Yes,0,Online,17,60,Cancellation Plan,ASIA
36,EPX,Travel Agency,No,0,Online,15,28,Customised Plan,ASIA
26,C2B,Airlines,No,7.64,Online,23,30.55,Bronze Plan,ASIA
26,C2B,Airlines,Yes,10.5,Online,15,42,Silver Plan,ASIA
36,EPX,Travel Agency,No,0,Online,36,19,Cancellation Plan,ASIA
38,JZI,Airlines,No,6.3,Online,6,18,Bronze Plan,ASIA
30,C2B,Airlines,Yes,15,Online,27,60,Bronze Plan,ASIA
42,EPX,Travel Agency,Yes,0,Online,22,112,Customised Plan,Americas
30,EPX,Travel Agency,Yes,0,Online,35,95,Customised Plan,Americas
28,C2B,Airlines,Yes,23.5,Online,42,94,Bronze Plan,ASIA
25,EPX,Travel Agency,No,0,Online,37,10,Cancellation Plan,ASIA
36,EPX,Travel Agency,No,0,Online,7,30,Customised Plan,ASIA
51,C2B,Airlines,Yes,48.3,Online,365,193.2,Silver Plan,ASIA
36,EPX,Travel Agency,No,0,Online,38,20,Customised Plan,ASIA
24,C2B,Airlines,Yes,22.13,Online,32,88.5,Silver Plan,ASIA
24,C2B,Airlines,Yes,4.8,Online,3,19.2,Bronze Plan,ASIA
36,EPX,Travel Agency,No,0,Online,81,10,Cancellation Plan,ASIA
24,EPX,Travel Agency,No,0,Online,96,20,Customised Plan,ASIA
36,EPX,Travel Agency,No,0,Online,28,25,Cancellation Plan,ASIA
36,EPX,Travel Agency,No,0,Online,44,11,Cancellation Plan,ASIA
59,C2B,Airlines,Yes,9.75,Online,28,39,Silver Plan,ASIA
28,C2B,Airlines,No,6.75,Online,6,27,Silver Plan,ASIA
40,EPX,Travel Agency,No,0,Online,57,27,Cancellation Plan,ASIA
51,EPX,Travel Agency,No,0,Online,51,23,Cancellation Plan,ASIA
31,EPX,Travel Agency,No,0,Online,40,75,Cancellation Plan,Americas
36,EPX,Travel Agency,Yes,0,Online,26,40,Customised Plan,ASIA
41,C2B,Airlines,Yes,11.75,Online,21,47,Bronze Plan,ASIA
56,C2B,Airlines,No,52.33,Online,367,209.3,Silver Plan,ASIA
28,C2B,Airlines,Yes,5.25,Online,12,21,Bronze Plan,ASIA
25,EPX,Travel Agency,No,0,Online,4,20,Customised Plan,ASIA
59,JZI,Airlines,No,9.1,Online,12,150,Bronze Plan,ASIA
36,EPX,Travel Agency,No,0,Online,2,26,Cancellation Plan,EUROPE
35,EPX,Travel Agency,No,0,Online,8,10,Cancellation Plan,ASIA
58,EPX,Travel Agency,Yes,0,Online,36,20,Customised Plan,ASIA
73,C2B,Airlines,No,8.88,Online,53,35.5,Silver Plan,ASIA
36,EPX,Travel Agency,No,0,Online,9,10,Cancellation Plan,ASIA
40,C2B,Airlines,Yes,83.25,Online,365,333,Gold Plan,ASIA
36,EPX,Travel Agency,No,0,Online,12,37,Cancellation Plan,ASIA
38,JZI,Airlines,No,6.3,Online,8,18,Bronze Plan,ASIA
36,EPX,Travel Agency,No,0,Online,6,20,Customised Plan,ASIA
36,EPX,Travel Agency,No,0,Online,110,69,Customised Plan,EUROPE
47,EPX,Travel Agency,No,0,Online,58,28,Customised Plan,ASIA
35,EPX,Travel Agency,No,0,Online,65,43,Customised Plan,ASIA
48,C2B,Airlines,No,0.38,Online,100,1.35,Customised Plan,ASIA
36,EPX,Travel Agency,No,0,Online,186,23,Customised Plan,ASIA
52,C2B,Airlines,Yes,26.63,Online,39,106.5,Silver Plan,ASIA
32,C2B,Airlines,Yes,63.21,Online,367,252.85,Silver Plan,ASIA
48,C2B,Airlines,No,0.77,Online,48,2.76,Customised Plan,ASIA
38,CWT,Travel Agency,Yes,23.76,Online,46,39.6,Customised Plan,EUROPE
36,EPX,Travel Agency,No,0,Online,7,112,Customised Plan,EUROPE
25,EPX,Travel Agency,No,0,Online,15,20,Customised Plan,ASIA
36,EPX,Travel Agency,No,0,Online,9,29,Customised Plan,ASIA
36,EPX,Travel Agency,Yes,0,Online,266,10,Cancellation Plan,ASIA
37,C2B,Airlines,No,6,Online,4,15,Bronze Plan,ASIA
35,EPX,Travel Agency,No,0,Online,72,25,Cancellation Plan,ASIA
36,EPX,Travel Agency,No,0,Online,61,80,Customised Plan,EUROPE
39,C2B,Airlines,Yes,63.21,Online,365,252.85,Silver Plan,ASIA
36,EPX,Travel Agency,Yes,0,Online,43,20,Customised Plan,ASIA
50,CWT,Travel Agency,Yes,23.76,Online,19,39.6,Customised Plan,ASIA
36,EPX,Travel Agency,No,0,Online,17,11,Cancellation Plan,ASIA
38,C2B,Airlines,Yes,5.25,Online,18,21,Bronze Plan,ASIA
22,CWT,Travel Agency,No,53.46,Online,29,89.1,Customised Plan,Americas
42,JZI,Airlines,No,12.25,Online,146,35,Bronze Plan,Americas
32,CWT,Travel Agency,Yes,17.55,Online,3,27,Gold Plan,ASIA
25,C2B,Airlines,No,20,Online,10,50,Bronze Plan,ASIA
36,EPX,Travel Agency,No,0,Online,59,38,Cancellation Plan,ASIA
