ID,delinquent,Sdelinquent,term,gender,purpose,home_ownership,age,FICO
1,Yes,1,36 months,Female,House,Mortgage,>25,300-500
2,No,0,36 months,Female,House,Rent,20-25,>500
3,Yes,1,36 months,Female,House,Rent,>25,300-500
4,Yes,1,36 months,Female,Car,Mortgage,>25,300-500
5,Yes,1,36 months,Female,House,Rent,>25,300-500
6,Yes,1,36 months,Male,Car,Own,>25,>500
7,No,0,36 months,Female,House,Rent,>25,>500
8,No,0,36 months,Male,House,Mortgage,>25,>500
9,Yes,1,36 months,Male,House,Rent,>25,>500
10,Yes,1,36 months,Female,House,Rent,20-25,>500
11,No,0,36 months,Male,House,Mortgage,20-25,>500
12,Yes,1,36 months,Female,Other,Rent,20-25,>500
13,Yes,1,60 months,Male,Car,Mortgage,20-25,>500
14,No,0,36 months,Male,House,Mortgage,20-25,>500
15,Yes,1,36 months,Female,Personal,Mortgage,20-25,300-500
16,Yes,1,36 months,Female,Other,Own,>25,300-500
17,Yes,1,60 months,Male,Personal,Own,20-25,>500
18,Yes,1,36 months,Female,Car,Mortgage,>25,300-500
19,Yes,1,36 months,Female,House,Rent,>25,300-500
20,No,0,36 months,Female,House,Rent,>25,>500
21,Yes,1,36 months,Female,House,Mortgage,>25,300-500
22,Yes,1,36 months,Female,House,Rent,>25,300-500
23,No,0,36 months,Female,Car,Mortgage,>25,>500
24,Yes,1,36 months,Male,Car,Mortgage,>25,>500
25,No,0,36 months,Female,Car,Mortgage,>25,>500
26,No,0,36 months,Male,House,Mortgage,20-25,>500
27,Yes,1,36 months,Male,Car,Rent,20-25,300-500
28,Yes,1,36 months,Male,House,Rent,20-25,300-500
29,No,0,60 months,Male,House,Rent,>25,300-500
30,Yes,1,36 months,Male,House,Rent,20-25,300-500
31,Yes,1,36 months,Male,Personal,Mortgage,20-25,300-500
32,Yes,1,36 months,Male,Personal,Mortgage,>25,>500
33,Yes,1,36 months,Male,House,Mortgage,20-25,300-500
34,No,0,36 months,Male,House,Own,>25,>500
35,Yes,1,36 months,Male,House,Mortgage,20-25,300-500
36,Yes,1,36 months,Female,Personal,Mortgage,>25,300-500
37,Yes,1,36 months,Female,House,Mortgage,>25,300-500
38,Yes,1,36 months,Male,House,Rent,20-25,>500
39,No,0,36 months,Female,House,Mortgage,>25,>500
40,No,0,60 months,Male,House,Mortgage,>25,>500
41,Yes,1,36 months,Female,House,Mortgage,>25,300-500
42,No,0,36 months,Male,Other,Own,20-25,>500
43,No,0,36 months,Female,House,Mortgage,20-25,>500
44,Yes,1,36 months,Male,House,Mortgage,20-25,>500
45,Yes,1,36 months,Female,Car,Rent,>25,300-500
46,Yes,1,36 months,Female,Car,Mortgage,>25,300-500
47,Yes,1,36 months,Male,House,Rent,>25,>500
48,Yes,1,36 months,Male,Car,Rent,20-25,300-500
49,No,0,36 months,Female,Wedding,Rent,>25,>500
50,No,0,60 months,Male,House,Mortgage,>25,300-500
51,Yes,1,36 months,Male,Other,Rent,20-25,300-500
52,No,0,36 months,Male,House,Mortgage,20-25,>500
53,Yes,1,36 months,Female,Personal,Mortgage,>25,>500
54,Yes,1,36 months,Male,House,Mortgage,>25,>500
55,Yes,1,36 months,Female,House,Mortgage,>25,300-500
56,Yes,1,36 months,Male,House,Mortgage,20-25,300-500
57,No,0,36 months,Female,House,Mortgage,>25,>500
58,Yes,1,36 months,Male,House,Mortgage,20-25,300-500
59,Yes,1,60 months,Male,House,Mortgage,20-25,>500
60,Yes,1,36 months,Female,Car,Rent,>25,300-500
61,No,0,60 months,Male,House,Rent,>25,300-500
62,No,0,36 months,Female,House,Mortgage,>25,>500
63,Yes,1,36 months,Female,Other,Rent,>25,300-500
64,No,0,60 months,Male,Car,Rent,>25,>500
65,Yes,1,36 months,Female,Medical,Mortgage,20-25,300-500
66,Yes,1,36 months,Male,House,Rent,>25,>500
67,Yes,1,36 months,Female,Personal,Mortgage,>25,>500
68,No,0,36 months,Female,House,Rent,>25,>500
69,No,0,36 months,Male,Car,Rent,20-25,>500
70,Yes,1,36 months,Male,House,Mortgage,20-25,300-500
71,Yes,1,36 months,Male,Wedding,Rent,20-25,300-500
72,Yes,1,36 months,Male,House,Rent,>25,>500
73,Yes,1,36 months,Male,House,Mortgage,>25,>500
74,Yes,1,36 months,Male,Car,Mortgage,20-25,300-500
75,Yes,1,36 months,Female,Personal,Mortgage,>25,300-500
76,Yes,1,36 months,Female,House,Mortgage,20-25,300-500
77,Yes,1,36 months,Female,Personal,Mortgage,20-25,300-500
78,Yes,1,36 months,Female,House,Own,>25,300-500
79,Yes,1,36 months,Female,House,Mortgage,>25,300-500
80,Yes,1,36 months,Female,Wedding,Rent,>25,300-500
81,Yes,1,36 months,Male,House,Rent,20-25,300-500
82,No,0,36 months,Male,Car,Rent,20-25,300-500
83,Yes,1,36 months,Male,House,Own,20-25,300-500
84,No,0,60 months,Male,Personal,Rent,>25,300-500
85,Yes,1,36 months,Female,House,Rent,>25,300-500
86,No,0,36 months,Female,Personal,Mortgage,>25,>500
87,Yes,1,36 months,Female,House,Rent,>25,300-500
88,No,0,36 months,Female,Other,Mortgage,20-25,>500
89,No,0,60 months,Male,House,Rent,>25,300-500
90,Yes,1,36 months,Male,Wedding,Mortgage,20-25,300-500
91,No,0,36 months,Female,House,Rent,>25,>500
92,Yes,1,36 months,Male,Other,Rent,20-25,>500
