,employee_id,department,education,gender,no_of_trainings,age,last_promotion_rating,employee_since_years,all_tasks_completed,training_marks,is_promoted
0,2001001,Sales & Marketing,Master's & above,f,1,35,5,8,1,49,0
1,2001002,Operations,Bachelor's,m,1,30,5,4,0,60,0
2,2001003,Sales & Marketing,Bachelor's,m,1,34,3,7,0,50,0
3,2001004,Sales & Marketing,Bachelor's,m,2,39,1,10,0,50,0
4,2001005,Technology,Bachelor's,m,1,45,3,2,0,73,0
5,2001006,Analytics,Bachelor's,m,2,31,3,7,0,85,0
6,2001007,Operations,Bachelor's,f,1,31,3,5,0,59,0
7,2001008,Operations,Master's & above,m,1,33,3,6,0,63,0
8,2001009,Analytics,Bachelor's,m,1,28,4,5,0,83,0
9,2001010,Sales & Marketing,Master's & above,m,1,32,5,5,1,54,0
11,2001011,Sales & Marketing,Bachelor's,f,1,35,5,3,1,50,1
12,2001012,Sales & Marketing,Bachelor's,m,1,49,5,5,1,49,0
13,2001013,Technology,Master's & above,m,2,39,3,16,0,80,0
14,2001014,R&D,Master's & above,m,1,37,3,7,0,84,0
15,2001015,Operations,Bachelor's,m,1,37,1,10,0,60,0
16,2001016,Technology,Bachelor's,m,1,38,3,5,1,77,0
17,2001017,Sales & Marketing,Bachelor's,m,1,34,1,4,0,51,0
18,2001018,Sales & Marketing,Bachelor's,m,1,34,5,8,1,46,0
19,2001019,Operations,Bachelor's,m,1,37,3,9,0,59,0
20,2001020,Procurement,Bachelor's,m,1,35,3,7,0,75,0
22,2001021,Finance,Bachelor's,f,1,28,3,4,0,63,0
24,2001022,Finance,Master's & above,m,2,39,5,7,0,59,0
25,2001023,Technology,Bachelor's,m,1,27,5,3,1,83,0
26,2001024,Procurement,Bachelor's,m,1,31,5,4,1,68,0
27,2001025,Technology,Bachelor's,m,1,33,4,4,0,79,0
28,2001026,Analytics,Bachelor's,m,1,29,5,3,1,80,0
30,2001027,Procurement,Bachelor's,m,1,37,5,10,1,72,0
31,2001028,Finance,Bachelor's,m,2,26,1,2,0,61,0
33,2001029,Operations,Bachelor's,m,2,57,4,6,0,58,0
34,2001030,Analytics,Bachelor's,m,2,27,5,3,1,87,0
35,2001031,Sales & Marketing,Bachelor's,m,1,40,2,4,1,47,0
36,2001032,Technology,Bachelor's,m,1,33,4,4,1,75,0
37,2001033,Sales & Marketing,Bachelor's,f,1,40,5,3,0,47,0
38,2001034,Sales & Marketing,Master's & above,m,1,42,5,5,1,51,0
39,2001035,Sales & Marketing,Bachelor's,m,1,33,5,6,1,51,1
40,2001036,Technology,Bachelor's,m,1,34,3,10,0,80,0
41,2001037,Operations,Bachelor's,f,2,23,4,2,1,57,0
42,2001038,HR,Bachelor's,m,1,59,4,26,1,52,0
44,2001039,Analytics,Bachelor's,m,1,44,5,12,0,88,0
45,2001040,Procurement,Bachelor's,f,1,50,5,11,0,71,0
46,2001041,Procurement,Master's & above,f,1,37,4,4,0,71,0
47,2001042,Technology,Bachelor's,m,1,40,3,11,0,80,0
48,2001043,Sales & Marketing,Bachelor's,m,1,30,3,3,1,49,0
49,2001044,Procurement,Master's & above,f,1,56,3,12,0,73,0
50,2001045,Finance,Bachelor's,m,1,20,4,2,1,60,0
51,2001046,Sales & Marketing,Bachelor's,f,1,31,3,8,0,48,0
52,2001047,Procurement,Bachelor's,m,1,40,3,12,1,65,0
53,2001048,HR,Bachelor's,m,1,30,1,6,0,50,0
54,2001049,Operations,Bachelor's,m,1,39,3,5,1,62,0
55,2001050,Analytics,Bachelor's,m,2,26,2,2,0,85,0
57,2001051,R&D,Master's & above,m,1,40,3,5,1,84,0
59,2001052,Sales & Marketing,Bachelor's,m,1,40,4,7,0,52,0
60,2001053,Sales & Marketing,Master's & above,m,1,50,4,17,1,47,1
61,2001054,Sales & Marketing,Bachelor's,m,1,25,3,3,0,53,0
63,2001055,Sales & Marketing,Master's & above,m,1,35,4,2,1,52,0
64,2001056,R&D,Bachelor's,m,1,34,5,5,0,87,0
65,2001057,Operations,Master's & above,f,1,31,3,3,1,58,0
68,2001058,Procurement,Bachelor's,m,1,30,4,6,1,75,0
69,2001059,Analytics,Bachelor's,m,1,30,3,7,1,84,1
70,2001060,Operations,Bachelor's,f,1,50,5,5,1,59,0
71,2001061,Technology,Master's & above,m,1,34,5,7,1,78,1
72,2001062,Sales & Marketing,Master's & above,f,1,41,1,12,0,52,0
73,2001063,Sales & Marketing,Bachelor's,m,1,32,4,6,0,44,0
74,2001064,Sales & Marketing,Bachelor's,m,1,50,3,14,0,52,0
75,2001065,Sales & Marketing,Master's & above,m,1,38,4,2,1,49,1
76,2001066,Sales & Marketing,Bachelor's,m,2,29,1,5,0,51,0
77,2001067,Sales & Marketing,Bachelor's,m,1,35,4,3,1,53,0
78,2001068,Analytics,Bachelor's,m,1,25,3,2,1,91,0
79,2001069,Sales & Marketing,Bachelor's,m,1,30,3,3,0,58,1
80,2001070,Technology,Bachelor's,m,1,47,3,7,0,79,0
81,2001071,Operations,Master's & above,m,1,35,2,7,0,53,0
83,2001072,R&D,Bachelor's,m,1,36,4,8,0,82,0
85,2001073,Operations,Master's & above,f,1,42,5,11,1,60,1
86,2001074,HR,Bachelor's,f,1,28,2,6,0,52,0
88,2001075,Procurement,Master's & above,m,1,32,5,3,1,69,1
91,2001076,Analytics,Bachelor's,m,1,34,3,8,0,85,0
92,2001077,Procurement,Master's & above,m,2,46,4,3,1,74,0
93,2001078,HR,Master's & above,m,1,47,3,7,0,44,0
94,2001079,Operations,Bachelor's,f,1,44,4,13,0,53,0
95,2001080,Analytics,Bachelor's,m,1,31,4,4,1,86,0
97,2001081,Operations,Bachelor's,f,1,33,3,5,0,57,0
98,2001082,Sales & Marketing,Bachelor's,m,1,41,3,12,1,52,0
99,2001083,Finance,Master's & above,m,1,60,5,17,0,59,0
100,2001084,Operations,Bachelor's,m,1,31,5,4,1,63,1
101,2001085,Operations,Bachelor's,f,1,37,3,11,0,57,0
102,2001086,Analytics,Bachelor's,m,2,39,3,4,1,83,0
103,2001087,Sales & Marketing,Bachelor's,m,1,40,5,8,1,54,0
104,2001088,Sales & Marketing,Master's & above,m,1,42,5,4,0,50,0
105,2001089,Operations,Bachelor's,m,1,35,4,6,1,57,1
106,2001090,Operations,Master's & above,f,1,41,4,6,1,62,0
107,2001091,Procurement,Bachelor's,f,1,23,3,2,0,73,0
108,2001092,Sales & Marketing,Bachelor's,m,2,31,3,4,0,50,0
109,2001093,Analytics,Master's & above,m,1,42,2,19,0,79,0
110,2001094,Sales & Marketing,Bachelor's,m,3,29,4,2,0,49,0
112,2001095,Operations,Bachelor's,m,1,41,4,6,1,63,0
113,2001096,Sales & Marketing,Bachelor's,f,1,40,3,2,1,90,1
114,2001097,Sales & Marketing,Bachelor's,m,1,34,5,5,0,49,0
115,2001098,Sales & Marketing,Bachelor's,f,1,31,4,2,0,46,0
116,2001099,Technology,Bachelor's,m,1,27,5,2,0,86,1
117,2001100,Procurement,Bachelor's,m,4,30,3,2,0,72,0
118,2001101,Procurement,Bachelor's,f,1,27,4,4,1,72,1
119,2001102,Technology,Bachelor's,m,4,36,4,7,0,82,0
120,2001103,Technology,Bachelor's,m,1,35,4,6,0,77,0
121,2001104,Sales & Marketing,Master's & above,m,1,34,5,7,1,51,1
122,2001105,Procurement,Master's & above,m,1,37,5,3,0,92,1
124,2001106,Procurement,Master's & above,m,2,47,3,5,1,71,0
126,2001107,Procurement,Master's & above,f,1,40,5,5,0,68,0
128,2001108,Operations,Master's & above,m,1,38,5,9,1,61,0
129,2001109,Sales & Marketing,Bachelor's,m,1,30,3,2,0,47,0
130,2001110,Sales & Marketing,Bachelor's,f,1,28,5,3,0,46,0
131,2001111,Procurement,Bachelor's,m,2,28,5,4,1,67,0
132,2001112,Operations,Bachelor's,m,1,35,4,7,0,58,0
133,2001113,Analytics,Bachelor's,m,1,32,3,8,0,89,1
134,2001114,Sales & Marketing,Master's & above,m,1,36,5,8,0,50,0
136,2001115,Technology,Bachelor's,m,1,27,3,4,1,78,0
137,2001116,Finance,Master's & above,m,2,34,3,7,0,56,0
138,2001117,Technology,Bachelor's,f,1,31,4,4,1,78,0
139,2001118,Technology,Bachelor's,f,1,30,4,2,0,77,0
140,2001119,Technology,Bachelor's,f,2,30,3,7,1,76,0
142,2001120,Analytics,Bachelor's,m,1,30,5,3,1,84,0
143,2001121,Finance,Bachelor's,m,1,28,3,2,0,57,0
144,2001122,Technology,Bachelor's,m,2,28,3,5,0,81,0
145,2001123,Sales & Marketing,Bachelor's,m,1,29,3,2,0,51,0
146,2001124,Sales & Marketing,Master's & above,m,1,46,3,11,1,51,0
147,2001125,Technology,Bachelor's,m,1,31,5,4,1,80,0
148,2001126,Procurement,Bachelor's,m,1,28,1,4,0,72,0
