Age,Attrition,DailyRate,DistanceFromHome,Education,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
41,1,1102,1,2,1,1,2,94,3,2,4,5993,19479,8,11,3,1,80,0,8,0,1,6,4,0,5
49,0,279,8,1,1,2,3,61,2,2,2,5130,24907,1,23,4,4,80,1,10,3,3,10,7,1,7
37,1,1373,2,2,1,3,4,92,2,1,3,2090,2396,6,15,3,2,80,0,7,3,3,0,0,0,0
33,0,1392,3,4,1,4,4,56,3,1,3,2909,23159,1,11,3,3,80,0,8,3,3,8,7,3,0
27,0,591,2,1,1,5,1,40,3,1,2,3468,16632,9,12,3,4,80,1,6,3,3,2,2,2,2
32,0,1005,2,2,1,6,4,79,3,1,4,3068,11864,0,13,3,3,80,0,8,2,2,7,7,3,6
59,0,1324,3,3,1,7,3,81,4,1,1,2670,9964,4,20,4,1,80,3,12,3,2,1,0,0,0
30,0,1358,24,1,1,8,4,67,3,1,3,2693,13335,1,22,4,2,80,1,1,2,3,1,0,0,0
38,0,216,23,3,1,9,4,44,2,3,3,9526,8787,0,21,4,2,80,0,10,2,3,9,7,1,8
36,0,1299,27,3,1,10,3,94,3,2,3,5237,16577,6,13,3,2,80,2,17,3,2,7,7,7,7
35,0,809,16,3,1,11,1,84,4,1,2,2426,16479,0,13,3,3,80,1,6,5,3,5,4,0,3
29,0,153,15,2,1,12,4,49,2,2,3,4193,12682,0,12,3,4,80,0,10,3,3,9,5,0,8
31,0,670,26,1,1,13,1,31,3,1,3,2911,15170,1,17,3,4,80,1,5,1,2,5,2,4,3
34,0,1346,19,2,1,14,2,93,3,1,4,2661,8758,0,11,3,3,80,1,3,2,3,2,2,1,2
28,1,103,24,3,1,15,3,50,2,1,3,2028,12947,5,14,3,2,80,0,6,4,3,4,2,0,3
29,0,1389,21,4,1,16,2,51,4,3,1,9980,10195,1,11,3,3,80,1,10,1,3,10,9,8,8
32,0,334,5,2,1,17,1,80,4,1,2,3298,15053,0,12,3,4,80,2,7,5,2,6,2,0,5
22,0,1123,16,2,1,18,4,96,4,1,4,2935,7324,1,13,3,2,80,2,1,2,2,1,0,0,0
53,0,1219,2,4,1,19,1,78,2,4,4,15427,22021,2,16,3,3,80,0,31,3,3,25,8,3,7
38,0,371,2,3,1,20,4,45,3,1,4,3944,4306,5,11,3,3,80,0,6,3,3,3,2,1,2
24,0,673,11,2,1,21,1,96,4,2,3,4011,8232,0,18,3,4,80,1,5,5,2,4,2,1,3
36,1,1218,9,4,1,22,3,82,2,1,1,3407,6986,7,23,4,2,80,0,10,4,3,5,3,0,3
34,0,419,7,4,1,23,1,53,3,3,2,11994,21293,0,11,3,3,80,0,13,4,3,12,6,2,11
21,0,391,15,2,1,24,3,96,3,1,4,1232,19281,1,14,3,4,80,0,0,6,3,0,0,0,0
34,1,699,6,1,1,25,2,83,3,1,1,2960,17102,2,11,3,3,80,0,8,2,3,4,2,1,3
53,0,1282,5,3,1,26,3,58,3,5,3,19094,10735,4,11,3,4,80,1,26,3,2,14,13,4,8
32,1,1125,16,1,1,27,2,72,1,1,1,3919,4681,1,22,4,2,80,0,10,5,3,10,2,6,7
42,0,691,8,4,1,28,3,48,3,2,2,6825,21173,0,11,3,4,80,1,10,2,3,9,7,4,2
44,0,477,7,4,1,29,1,42,2,3,4,10248,2094,3,14,3,4,80,1,24,4,3,22,6,5,17
46,0,705,2,4,1,30,2,83,3,5,1,18947,22822,3,12,3,4,80,0,22,2,2,2,2,2,1
33,0,924,2,3,1,31,3,78,3,1,4,2496,6670,4,11,3,4,80,0,7,3,3,1,1,0,0
44,0,1459,10,4,1,32,4,41,3,2,4,6465,19121,2,13,3,4,80,0,9,5,4,4,2,1,3
30,0,125,9,2,1,33,4,83,2,1,3,2206,16117,1,13,3,1,80,0,10,5,3,10,0,1,8
39,1,895,5,3,1,34,4,56,3,2,4,2086,3335,3,14,3,3,80,1,19,6,4,1,0,0,0
24,1,813,1,3,1,35,2,61,3,1,4,2293,3020,2,16,3,1,80,1,6,2,2,2,0,2,0
43,0,1273,2,2,1,36,4,72,4,1,3,2645,21923,1,12,3,4,80,2,6,3,2,5,3,1,4
50,1,869,3,2,1,37,1,86,2,1,3,2683,3810,1,14,3,3,80,0,3,2,3,3,2,0,2
35,0,890,2,3,1,38,4,97,3,1,4,2014,9687,1,13,3,1,80,0,2,3,3,2,2,2,2
36,0,852,5,4,1,39,2,82,2,1,1,3419,13072,9,14,3,4,80,1,6,3,4,1,1,0,0
33,0,1141,1,3,1,40,3,42,4,2,1,5376,3193,2,19,3,1,80,2,10,3,3,5,3,1,3
35,0,464,4,2,1,41,3,75,3,1,4,1951,10910,1,12,3,3,80,1,1,3,3,1,0,0,0
27,0,1240,2,4,1,42,4,33,3,1,1,2341,19715,1,13,3,4,80,1,1,6,3,1,0,0,0
26,1,1357,25,3,1,43,1,48,1,1,3,2293,10558,1,12,3,3,80,0,1,2,2,1,0,0,1
27,0,994,8,3,1,44,4,37,3,3,3,8726,2975,1,15,3,4,80,0,9,0,3,9,8,1,7
30,0,721,1,2,1,45,3,58,3,2,4,4011,10781,1,23,4,4,80,0,12,2,3,12,8,3,7
41,1,1360,12,3,1,46,2,49,3,5,3,19545,16280,1,12,3,4,80,0,23,0,3,22,15,15,8
34,0,1065,23,4,1,47,2,72,3,2,3,4568,10034,0,20,4,3,80,0,10,2,3,9,5,8,7
37,0,408,19,2,1,48,2,73,3,1,2,3022,10227,4,21,4,1,80,0,8,1,3,1,0,0,0
46,0,1211,5,4,1,49,1,98,3,2,4,5772,20445,4,21,4,3,80,0,14,4,3,9,6,0,8
35,0,1229,8,1,1,50,4,36,4,1,4,2269,4892,1,19,3,4,80,0,1,2,3,1,0,0,1
48,1,626,1,2,1,51,1,98,2,3,3,5381,19294,9,13,3,4,80,0,23,2,3,1,0,0,0
28,1,1434,5,4,1,52,3,50,3,1,3,3441,11179,1,13,3,3,80,0,2,3,2,2,2,2,2
44,0,1488,1,5,1,53,2,75,3,2,1,5454,4009,5,21,4,3,80,1,9,2,2,4,3,1,3
35,0,1097,11,2,1,54,3,79,2,3,1,9884,8302,2,13,3,3,80,1,10,3,3,4,0,2,3
26,0,1443,23,3,1,55,3,47,2,2,4,4157,21436,7,19,3,3,80,1,5,2,2,2,2,0,0
33,0,515,1,2,1,56,1,98,3,3,4,13458,15146,1,12,3,3,80,0,15,1,3,15,14,8,12
35,0,853,18,5,1,57,2,71,3,3,1,9069,11031,1,22,4,4,80,1,9,3,2,9,8,1,8
35,0,1142,23,4,1,58,3,30,3,1,1,4014,16002,3,15,3,3,80,1,4,3,3,2,2,2,2
31,0,655,7,4,1,59,4,48,3,2,4,5915,9528,3,22,4,4,80,1,10,3,2,7,7,1,7
