,Holliday_Package,Salary,age,educ,no_young_children,no_older_children,foreign
1,no,48412,30,8,1,1,no
2,yes,37207,45,8,0,1,no
3,no,58022,46,9,0,0,no
4,no,66503,31,11,2,0,no
5,no,66734,44,12,0,2,no
6,yes,61590,42,12,0,1,no
7,no,94344,51,8,0,0,no
8,yes,35987,32,8,0,2,no
9,no,41140,39,12,0,0,no
10,no,35826,43,11,0,2,no
11,no,42643,45,11,0,2,no
12,no,35157,60,12,0,0,no
13,no,75327,33,11,2,0,no
14,no,148221,56,14,0,0,no
15,no,98870,56,11,0,0,no
16,no,80297,47,11,0,1,no
17,no,52117,50,8,0,0,no
18,yes,139253,39,12,0,0,no
19,no,62858,47,8,0,1,no
20,yes,57400,53,11,0,0,no
21,no,52059,29,19,0,0,no
22,yes,66711,46,11,0,1,no
23,no,51463,44,8,0,2,no
24,no,35682,20,12,1,0,no
25,yes,35741,54,8,0,0,no
26,yes,40183,47,8,0,0,no
27,no,37821,28,9,2,0,no
28,no,74927,47,8,0,1,no
29,yes,51077,49,12,0,0,no
30,no,38804,30,11,0,1,no
31,no,129262,51,11,0,0,no
32,no,42920,28,11,0,2,no
33,no,41136,54,11,0,0,no
34,no,37690,49,8,0,0,no
35,no,68572,53,10,0,0,no
36,no,30192,55,8,0,0,no
37,no,31973,24,11,1,0,no
38,no,99423,50,8,0,1,no
39,yes,70022,36,13,0,2,no
40,no,34646,23,9,1,0,no
41,yes,66588,41,12,0,2,no
42,no,42497,23,10,0,1,no
43,no,36998,38,10,0,2,no
44,no,44331,53,12,0,0,no
45,no,15818,45,12,0,1,no
46,no,55391,37,12,0,2,no
47,no,76831,36,15,2,0,no
48,no,23183,46,12,0,0,no
49,no,40991,31,10,1,1,no
50,yes,41967,42,10,0,2,no
51,no,33523,22,10,1,0,no
52,yes,35136,32,8,0,1,no
53,yes,35533,34,9,0,2,no
54,yes,34045,44,9,0,1,no
55,yes,33768,58,12,0,0,no
56,yes,35305,44,9,0,2,no
57,no,68770,55,9,0,0,no
58,no,30299,23,11,2,0,no
59,no,29901,60,15,0,0,no
60,no,52268,50,10,0,2,no
61,no,35089,59,9,0,0,no
62,no,27554,35,9,0,2,no
63,no,165895,61,13,0,0,no
64,yes,90324,40,13,0,2,no
65,no,36855,24,11,1,0,no
66,yes,36072,35,4,0,2,no
67,yes,45187,31,10,1,1,no
68,no,83859,61,12,0,0,no
69,yes,49748,55,10,0,1,no
70,no,30225,20,9,1,0,no
71,no,65950,31,15,1,0,no
72,yes,35344,35,9,0,2,no
73,no,39663,55,8,0,0,no
74,no,107442,35,11,1,2,no
75,no,40904,44,17,0,4,no
76,yes,36959,56,9,0,0,no
77,no,50291,34,10,0,2,no
78,yes,54718,43,8,0,0,no
79,yes,31684,24,12,0,0,no
80,yes,15462,54,8,0,0,no
81,no,25773,34,8,0,4,no
82,yes,29139,52,7,0,2,no
83,no,38991,34,8,1,3,no
84,no,47265,21,9,2,0,no
85,yes,37831,34,10,0,0,no
86,no,42386,22,9,1,0,no
87,no,51652,36,8,0,3,no
88,no,29308,32,10,1,3,no
89,no,84031,44,13,0,4,no
90,yes,75798,49,12,0,2,no
91,no,35302,49,14,0,2,no
92,no,48398,45,10,0,3,no
93,no,40133,28,10,1,1,no
94,no,29166,36,8,0,3,no
95,no,51060,50,8,0,2,no
96,no,63102,48,8,0,5,no
97,no,42334,45,7,0,2,no
98,no,30899,62,7,0,0,no
99,no,44721,33,12,2,0,no
100,yes,31201,48,8,0,0,no
101,yes,61159,38,10,0,3,no
102,yes,40373,46,7,0,1,no
103,yes,42172,38,10,0,1,no
104,yes,32432,56,7,0,0,no
105,yes,46220,39,13,0,3,no
106,no,37838,28,10,2,0,no
107,no,64928,46,10,0,3,no
108,yes,47624,27,10,0,0,no
109,no,216630,58,12,0,0,no
110,no,47972,27,12,2,0,no
111,no,43031,52,10,0,0,no
112,yes,48282,31,9,0,3,no
113,yes,78418,35,11,0,2,no
114,yes,84682,34,12,0,1,no
115,yes,50309,57,4,0,0,no
116,no,60713,44,10,0,2,no
117,no,14395,56,7,0,1,no
118,yes,37370,34,4,0,3,no
119,yes,46234,27,16,1,0,no
120,no,46856,44,9,0,3,no
121,yes,50552,33,12,2,0,no
122,no,35982,52,9,0,2,no
123,no,31678,26,8,1,0,no
124,no,49647,28,9,0,2,no
125,no,47254,46,8,2,1,no
126,yes,44363,42,9,0,2,no
127,no,34424,24,6,1,0,no
128,yes,34543,21,8,0,0,no
129,no,42760,58,4,0,0,no
130,yes,55589,47,8,0,4,no
131,no,52336,37,8,0,2,no
132,yes,90827,31,11,1,0,no
133,yes,50003,57,8,0,0,no
134,yes,57723,38,9,0,2,no
135,no,10551,22,13,1,0,no
136,yes,46195,40,8,0,2,no
137,no,83203,40,11,0,1,no
138,yes,71377,35,9,0,2,no
139,no,68302,37,9,0,2,no
140,yes,42895,54,12,0,0,no
141,no,65273,52,10,0,0,no
142,yes,38927,31,11,0,2,no
143,no,62091,46,10,0,2,no
144,no,46195,44,6,1,1,no
145,no,40967,25,10,1,0,no
146,no,52641,27,9,1,0,no
147,yes,42820,45,9,0,1,no
148,no,142183,31,15,0,2,no
149,yes,41740,31,13,0,2,no
150,yes,42835,34,14,0,2,no
151,yes,56241,37,11,0,2,no
152,yes,67218,51,8,0,0,no
153,no,32616,52,9,0,0,no
154,no,55055,34,8,0,2,no
155,yes,37444,45,11,0,2,no
156,yes,62935,26,14,1,0,no
157,no,57618,40,9,0,1,no
158,no,48177,44,10,0,2,no
159,no,53807,28,13,2,0,no
160,no,41667,41,8,1,3,no
161,no,49225,58,10,0,0,no
162,no,53162,35,10,0,1,no
163,no,162024,56,12,0,0,no
164,yes,74327,40,13,0,4,no
165,no,36681,34,9,1,1,no
166,no,34878,29,14,1,1,no
167,yes,47286,37,13,0,2,no
168,yes,46900,26,12,0,0,no
169,no,43887,43,8,0,3,no
170,yes,63934,38,9,0,3,no
171,yes,44055,47,8,0,1,no
172,no,40334,53,8,0,3,no
173,no,32900,54,8,0,0,no
174,no,40855,39,11,2,0,no
175,yes,50699,34,10,0,0,no
176,no,22611,54,8,0,1,no
177,no,46454,31,9,2,0,no
178,no,55994,35,8,0,4,no
179,yes,51034,37,12,1,1,no
180,no,45014,40,8,0,2,no
181,no,40635,24,8,2,0,no
182,no,64656,33,12,1,0,no
183,yes,68051,49,9,0,3,no
184,no,37156,30,12,0,2,no
185,no,42612,61,9,0,0,no
186,no,124627,32,13,2,1,no
187,no,55269,39,8,0,5,no
188,no,36832,40,8,0,2,no
189,no,64181,27,10,0,2,no
190,no,40913,20,9,1,0,no
191,no,38641,43,11,0,2,no
192,yes,54486,32,13,1,1,no
193,no,57010,34,11,0,2,no
194,yes,36538,46,8,0,2,no
195,no,62810,44,5,0,1,no
196,no,39111,36,8,0,3,no
197,yes,72621,45,12,0,2,no
198,no,58939,33,12,1,0,no
199,no,83693,55,4,0,0,no
200,no,51634,36,12,0,2,no
201,yes,33010,37,8,0,0,no
202,no,59165,39,11,0,2,no
203,no,52277,53,8,0,0,no
204,no,37169,22,9,1,0,no
205,no,50058,33,12,0,2,no
206,yes,25909,40,10,0,0,no
207,no,73040,57,12,0,0,no
208,no,75032,29,10,1,2,no
209,yes,53846,47,8,0,0,no
210,yes,41828,41,10,0,0,no
211,no,51546,41,8,0,2,no
212,yes,42639,31,12,0,0,no
213,no,84882,43,12,0,1,no
214,no,76304,51,8,0,1,no
215,yes,70236,36,10,0,2,no
216,yes,54823,39,10,0,1,no
217,yes,36607,30,8,0,2,no
218,no,58451,30,21,2,0,no
219,no,31844,24,2,0,0,no
220,no,38837,49,8,0,1,no
221,no,34386,49,9,0,0,no
222,no,36997,30,8,0,2,no
223,yes,44394,40,9,0,4,no
224,no,40001,44,6,0,0,no
225,no,72947,29,13,1,1,no
226,no,56374,28,13,1,0,no
227,yes,38482,43,10,0,1,no
228,no,46847,29,10,2,2,no
229,yes,35056,44,7,1,1,no
230,no,57208,42,12,0,3,no
