Observation,Dist_Taxi,Dist_Market,Dist_Metro,Store_Area,Items_Available,Parking,Coupon_Category,Daily_Customer_Count,Store_Sales
1,9796,5250,10703,1659,1961,Open,CAT B,530,66490
2,8294,8186,12694,1461,1752,Not Provided,CAT B,210,39820
3,11001,14399,16991,1340,1609,Not Provided,CAT A,720,54010
4,8301,11188,12289,1451,1748,Covered,CAT B,620,53730
5,10510,12629,13921,1770,2111,Not Provided,CAT B,450,46620
6,6665,5142,9972,1442,1733,Open,CAT B,760,45260
7,13153,11869,17811,1542,1858,No Parking,CAT A,1030,72240
8,5882,9948,13315,1261,1507,Open,CAT C,1020,37720
9,7495,11589,13370,1090,1321,Not Provided,CAT B,680,46310
10,8233,7067,11400,1030,1235,Open,CAT C,1130,44150
11,4278,10646,8243,1187,1439,Covered,CAT A,1090,71280
12,8066,11149,12936,1751,2098,No Parking,CAT B,720,57620
13,7693,9130,14684,1746,2064,Open,CAT B,1050,60470
14,5236,10853,13054,1615,1931,Covered,CAT B,1160,59130
15,6027,6707,10176,1469,1756,Open,CAT B,770,66360
16,9648,14789,12812,1644,1950,Covered,CAT A,790,78870
17,11079,13102,13076,1578,1907,Open,CAT A,1440,77250
18,6698,11519,13441,1703,2045,Covered,CAT B,670,38170
19,9609,9066,13304,1438,1731,Open,CAT A,1030,63540
20,6209,7839,10660,1837,,Open,CAT B,790,49220
21,8155,8085,9837,1940,2340,Covered,CAT C,980,40190
22,9669,12385,13589,1421,1700,No Parking,CAT C,370,43460
23,11613,11675,15476,1458,1746,Open,CAT A,690,68890
24,10664,14161,15076,1719,2065,Covered,CAT B,950,52780
25,7309,7468,11460,1449,1752,Not Provided,CAT B,620,50680
26,7103,9832,10943,1234,1488,No Parking,CAT B,840,41880
27,6615,8178,12804,1732,2073,Not Provided,CAT C,820,70050
28,10870,12040,15221,1475,1777,Open,CAT C,1100,25820
29,7186,8400,11151,1226,,Open,CAT C,760,47660
30,11735,10687,16954,1390,1648,No Parking,CAT B,980,60530
31,13441,13852,17989,1642,1943,No Parking,CAT B,710,78100
32,8876,13372,15845,1715,2071,Open,CAT B,650,84860
33,4066,9318,10159,1439,1746,Open,CAT A,990,80140
34,8248,8464,11292,1250,1508,Open,CAT C,990,14920
35,9904,11866,14566,1331,1608,Open,CAT B,880,60460
36,6526,7876,11215,1784,2163,Covered,CAT B,620,74560
37,6166,9680,12079,1375,1648,Not Provided,CAT A,1020,72430
38,5064,10573,9796,1871,2230,Covered,CAT B,700,45460
39,6712,10341,15629,1442,1744,Not Provided,CAT C,610,41570
40,8317,13286,12785,1174,1411,Covered,CAT A,1080,62870
41,7796,17101,16192,1839,2204,No Parking,CAT B,1010,55170
42,9171,8368,12566,1270,1516,Not Provided,CAT B,0,45480
43,8525,11543,13589,1209,,Open,CAT A,1200,60410
44,9357,11584,14219,1435,1725,Open,CAT C,1250,49550
45,8101,11176,13502,965,1152,Not Provided,CAT C,600,48140
46,8794,12199,14275,1665,2001,No Parking,CAT A,730,67640
47,6017,14147,12642,1780,2117,Open,CAT C,780,39730
48,11265,12999,14621,1009,1194,Not Provided,CAT C,520,35800
49,6407,10134,13433,1227,1471,No Parking,CAT A,870,49270
50,,,10643,1565,1885,Not Provided,CAT A,660,67070
51,7193,10163,10715,1769,2087,No Parking,CAT B,690,66510
52,9723,11620,13693,1660,1982,Open,CAT B,910,62530
53,11363,14001,17453,1472,1776,Open,CAT B,1260,59980
54,13157,11247,16385,1408,1688,Not Provided,CAT A,1040,76350
55,11657,12184,16450,1514,1820,Covered,CAT B,910,81820
56,10269,7505,13552,1565,1880,Covered,CAT B,1300,57830
57,9480,15910,16887,1074,1288,Not Provided,CAT B,320,70450
58,10451,11465,16488,1864,2240,No Parking,CAT B,530,67000
59,7331,11247,10787,1570,1898,No Parking,CAT B,980,64090
60,8458,13941,15721,1417,1701,Open,CAT B,740,48670
61,9620,15033,14775,1734,2060,Not Provided,CAT B,1240,66210
62,10566,10728,16951,1470,1763,Covered,CAT B,1080,83660
63,5568,11538,14767,1761,2104,Not Provided,CAT A,1080,70770
64,8210,9740,12485,1756,2070,Open,CAT C,460,53870
65,4533,6617,10052,1704,2045,No Parking,CAT A,300,71300
66,7471,9029,14080,,1614,Covered,CAT A,870,76690
67,6239,7326,9085,2011,2391,Not Provided,CAT C,530,46100
68,10504,9938,13747,1472,1748,Open,CAT B,600,49100
69,12715,10229,15329,1310,1561,Not Provided,CAT B,860,65920
70,9472,9686,13464,1544,1821,Covered,CAT B,590,58660
71,4195,9050,7517,1707,2052,Open,CAT B,920,69130
72,5858,8114,11026,1881,2262,No Parking,CAT C,570,49080
73,9849,8773,15371,1416,1681,Not Provided,CAT A,290,72710
74,7983,6338,11916,1631,1941,Open,CAT B,650,33430
75,5174,9293,10704,1318,1576,Covered,CAT C,710,42430
76,7629,8786,12052,1692,2019,Open,CAT B,850,56650
77,8841,11909,11625,1152,1380,Not Provided,CAT B,530,33580
78,9327,9867,14244,891,1073,Not Provided,CAT A,630,67370
79,6637,10365,9537,1468,1749,Not Provided,CAT A,700,71780
80,4589,12404,12558,1539,1833,Not Provided,CAT A,650,84840
81,9604,13622,15501,1635,1956,Covered,CAT A,720,82070
82,8868,12356,13209,1267,1520,Not Provided,CAT B,450,26770
83,11676,14735,15825,1250,1475,Open,CAT B,1390,65560
84,11703,12778,16910,1598,,Covered,CAT A,530,81160
85,5909,10455,13125,1720,2044,Open,CAT B,960,38660
86,9674,12676,14459,1462,1761,Not Provided,CAT A,600,65660
87,4997,9411,11468,1431,1711,No Parking,CAT C,620,40700
88,9371,12701,16615,1539,1858,Not Provided,CAT A,1020,88910
89,14306,12591,18029,1441,1723,Open,CAT B,330,57860
90,6591,14567,13985,1572,1884,No Parking,CAT C,1410,42670
91,7566,9599,16454,1287,1525,Not Provided,CAT A,1200,90180
92,8463,8825,7307,1468,1760,Not Provided,CAT C,280,51280
93,1200,7579,7376,1931,2342,Covered,CAT A,940,97260
94,6871,10557,12097,1252,1506,Open,CAT B,850,39650
95,6956,9048,11991,1238,1468,Open,CAT C,960,45720
96,6541,7537,11474,1694,,Covered,CAT B,560,48300
97,2222,10106,8858,1479,1758,Covered,CAT C,420,42060
98,6194,8473,11978,1590,1912,Open,CAT B,830,65350
99,7025,10344,11682,2169,2617,Open,CAT B,600,67080
100,9233,12290,14032,1838,2205,Covered,CAT B,400,54030
101,7185,13170,13904,1385,1655,Open,CAT A,760,56360
102,7021,12206,14664,1921,2305,Covered,CAT A,1470,77120
103,7970,9719,9695,1975,2385,Not Provided,CAT B,500,50810
104,10381,15076,16590,1853,2235,Not Provided,CAT B,1120,60960
105,5725,16967,11221,1816,2171,Open,CAT A,1160,61180
106,13866,13472,15427,1785,2147,Open,CAT C,820,63660
107,6353,15169,13058,1579,1899,No Parking,CAT B,1140,41190
108,7944,7275,10843,1096,1321,Open,CAT A,900,78420
109,6445,9455,10950,1919,2294,Not Provided,CAT A,760,65580
110,4446,9575,9133,1262,1500,Not Provided,CAT A,1170,89080
111,5320,9845,9590,1374,1655,Covered,CAT A,1080,94170
112,10103,11932,16948,1309,1587,Not Provided,CAT B,1000,50950
113,11517,11278,14656,1207,1434,Not Provided,CAT A,690,65180
114,7388,15701,14982,1692,2031,Open,CAT A,810,69310
