Observation,Dist_Taxi,Dist_Market,Dist_Metro,Store_Area,Items_Available,Coupon_Category,Daily_Customer_Count,Store_Sales
1,9796.0,5250.0,10703.0,1659.0,1961.0,CAT B,530,66490
2,8294.0,8186.0,12694.0,1461.0,1752.0,CAT B,210,39820
3,11001.0,14399.0,16991.0,1340.0,1609.0,CAT A,720,54010
4,8301.0,11188.0,12289.0,1451.0,1748.0,CAT B,620,53730
5,10510.0,12629.0,13921.0,1770.0,2111.0,CAT B,450,46620
6,6665.0,5142.0,9972.0,1442.0,1733.0,CAT B,760,45260
7,13153.0,11869.0,17811.0,1542.0,1858.0,CAT A,1030,72240
8,5882.0,9948.0,13315.0,1261.0,1507.0,CAT C,1020,37720
9,7495.0,11589.0,13370.0,1090.0,1321.0,CAT B,680,46310
10,8233.0,7067.0,11400.0,1030.0,1235.0,CAT C,1130,44150
11,4278.0,10646.0,8243.0,1187.0,1439.0,CAT A,1090,71280
12,8066.0,11149.0,12936.0,1751.0,2098.0,CAT B,720,57620
13,7693.0,9130.0,14684.0,1746.0,2064.0,CAT B,1050,60470
14,5236.0,10853.0,13054.0,1615.0,1931.0,CAT B,1160,59130
15,6027.0,6707.0,10176.0,1469.0,1756.0,CAT B,770,66360
16,9648.0,14789.0,12812.0,1644.0,1950.0,CAT A,790,78870
17,11079.0,13102.0,13076.0,1578.0,1907.0,CAT A,1440,77250
18,6698.0,11519.0,13441.0,1703.0,2045.0,CAT B,670,38170
19,9609.0,9066.0,13304.0,1438.0,1731.0,CAT A,1030,63540
21,8155.0,8085.0,9837.0,1940.0,2340.0,CAT C,980,40190
22,9669.0,12385.0,13589.0,1421.0,1700.0,CAT C,370,43460
23,11613.0,11675.0,15476.0,1458.0,1746.0,CAT A,690,68890
24,10664.0,14161.0,15076.0,1719.0,2065.0,CAT B,950,52780
25,7309.0,7468.0,11460.0,1449.0,1752.0,CAT B,620,50680
26,7103.0,9832.0,10943.0,1234.0,1488.0,CAT B,840,41880
27,6615.0,8178.0,12804.0,1732.0,2073.0,CAT C,820,70050
28,10870.0,12040.0,15221.0,1475.0,1777.0,CAT C,1100,25820
30,11735.0,10687.0,16954.0,1390.0,1648.0,CAT B,980,60530
31,13441.0,13852.0,17989.0,1642.0,1943.0,CAT B,710,78100
32,8876.0,13372.0,15845.0,1715.0,2071.0,CAT B,650,84860
33,4066.0,9318.0,10159.0,1439.0,1746.0,CAT A,990,80140
34,8248.0,8464.0,11292.0,1250.0,1508.0,CAT C,990,14920
35,9904.0,11866.0,14566.0,1331.0,1608.0,CAT B,880,60460
36,6526.0,7876.0,11215.0,1784.0,2163.0,CAT B,620,74560
37,6166.0,9680.0,12079.0,1375.0,1648.0,CAT A,1020,72430
38,5064.0,10573.0,9796.0,1871.0,2230.0,CAT B,700,45460
39,6712.0,10341.0,15629.0,1442.0,1744.0,CAT C,610,41570
40,8317.0,13286.0,12785.0,1174.0,1411.0,CAT A,1080,62870
41,7796.0,17101.0,16192.0,1839.0,2204.0,CAT B,1010,55170
42,9171.0,8368.0,12566.0,1270.0,1516.0,CAT B,0,45480
44,9357.0,11584.0,14219.0,1435.0,1725.0,CAT C,1250,49550
45,8101.0,11176.0,13502.0,965.0,1152.0,CAT C,600,48140
46,8794.0,12199.0,14275.0,1665.0,2001.0,CAT A,730,67640
47,6017.0,14147.0,12642.0,1780.0,2117.0,CAT C,780,39730
48,11265.0,12999.0,14621.0,1009.0,1194.0,CAT C,520,35800
49,6407.0,10134.0,13433.0,1227.0,1471.0,CAT A,870,49270
51,7193.0,10163.0,10715.0,1769.0,2087.0,CAT B,690,66510
52,9723.0,11620.0,13693.0,1660.0,1982.0,CAT B,910,62530
53,11363.0,14001.0,17453.0,1472.0,1776.0,CAT B,1260,59980
54,13157.0,11247.0,16385.0,1408.0,1688.0,CAT A,1040,76350
55,11657.0,12184.0,16450.0,1514.0,1820.0,CAT B,910,81820
56,10269.0,7505.0,13552.0,1565.0,1880.0,CAT B,1300,57830
57,9480.0,15910.0,16887.0,1074.0,1288.0,CAT B,320,70450
58,10451.0,11465.0,16488.0,1864.0,2240.0,CAT B,530,67000
59,7331.0,11247.0,10787.0,1570.0,1898.0,CAT B,980,64090
60,8458.0,13941.0,15721.0,1417.0,1701.0,CAT B,740,48670
61,9620.0,15033.0,14775.0,1734.0,2060.0,CAT B,1240,66210
62,10566.0,10728.0,16951.0,1470.0,1763.0,CAT B,1080,83660
63,5568.0,11538.0,14767.0,1761.0,2104.0,CAT A,1080,70770
64,8210.0,9740.0,12485.0,1756.0,2070.0,CAT C,460,53870
65,4533.0,6617.0,10052.0,1704.0,2045.0,CAT A,300,71300
67,6239.0,7326.0,9085.0,2011.0,2391.0,CAT C,530,46100
68,10504.0,9938.0,13747.0,1472.0,1748.0,CAT B,600,49100
69,12715.0,10229.0,15329.0,1310.0,1561.0,CAT B,860,65920
70,9472.0,9686.0,13464.0,1544.0,1821.0,CAT B,590,58660
71,4195.0,9050.0,7517.0,1707.0,2052.0,CAT B,920,69130
72,5858.0,8114.0,11026.0,1881.0,2262.0,CAT C,570,49080
73,9849.0,8773.0,15371.0,1416.0,1681.0,CAT A,290,72710
74,7983.0,6338.0,11916.0,1631.0,1941.0,CAT B,650,33430
75,5174.0,9293.0,10704.0,1318.0,1576.0,CAT C,710,42430
76,7629.0,8786.0,12052.0,1692.0,2019.0,CAT B,850,56650
77,8841.0,11909.0,11625.0,1152.0,1380.0,CAT B,530,33580
78,9327.0,9867.0,14244.0,891.0,1073.0,CAT A,630,67370
79,6637.0,10365.0,9537.0,1468.0,1749.0,CAT A,700,71780
80,4589.0,12404.0,12558.0,1539.0,1833.0,CAT A,650,84840
81,9604.0,13622.0,15501.0,1635.0,1956.0,CAT A,720,82070
82,8868.0,12356.0,13209.0,1267.0,1520.0,CAT B,450,26770
83,11676.0,14735.0,15825.0,1250.0,1475.0,CAT B,1390,65560
85,5909.0,10455.0,13125.0,1720.0,2044.0,CAT B,960,38660
86,9674.0,12676.0,14459.0,1462.0,1761.0,CAT A,600,65660
87,4997.0,9411.0,11468.0,1431.0,1711.0,CAT C,620,40700
88,9371.0,12701.0,16615.0,1539.0,1858.0,CAT A,1020,88910
89,14306.0,12591.0,18029.0,1441.0,1723.0,CAT B,330,57860
90,6591.0,14567.0,13985.0,1572.0,1884.0,CAT C,1410,42670
91,7566.0,9599.0,16454.0,1287.0,1525.0,CAT A,1200,90180
92,8463.0,8825.0,7307.0,1468.0,1760.0,CAT C,280,51280
93,1200.0,7579.0,7376.0,1931.0,2342.0,CAT A,940,97260
94,6871.0,10557.0,12097.0,1252.0,1506.0,CAT B,850,39650
95,6956.0,9048.0,11991.0,1238.0,1468.0,CAT C,960,45720
97,2222.0,10106.0,8858.0,1479.0,1758.0,CAT C,420,42060
98,6194.0,8473.0,11978.0,1590.0,1912.0,CAT B,830,65350
99,7025.0,10344.0,11682.0,2169.0,2617.0,CAT B,600,67080
100,9233.0,12290.0,14032.0,1838.0,2205.0,CAT B,400,54030
101,7185.0,13170.0,13904.0,1385.0,1655.0,CAT A,760,56360
102,7021.0,12206.0,14664.0,1921.0,2305.0,CAT A,1470,77120
103,7970.0,9719.0,9695.0,1975.0,2385.0,CAT B,500,50810
104,10381.0,15076.0,16590.0,1853.0,2235.0,CAT B,1120,60960
105,5725.0,16967.0,11221.0,1816.0,2171.0,CAT A,1160,61180
106,13866.0,13472.0,15427.0,1785.0,2147.0,CAT C,820,63660
107,6353.0,15169.0,13058.0,1579.0,1899.0,CAT B,1140,41190
108,7944.0,7275.0,10843.0,1096.0,1321.0,CAT A,900,78420
109,6445.0,9455.0,10950.0,1919.0,2294.0,CAT A,760,65580
110,4446.0,9575.0,9133.0,1262.0,1500.0,CAT A,1170,89080
111,5320.0,9845.0,9590.0,1374.0,1655.0,CAT A,1080,94170
112,10103.0,11932.0,16948.0,1309.0,1587.0,CAT B,1000,50950
113,11517.0,11278.0,14656.0,1207.0,1434.0,CAT A,690,65180
114,7388.0,15701.0,14982.0,1692.0,2031.0,CAT A,810,69310
115,11475.0,14768.0,15998.0,1929.0,2311.0,CAT B,630,79210
116,10148.0,10679.0,11618.0,1573.0,1878.0,CAT C,650,23740
117,6255.0,11047.0,10332.0,1415.0,1700.0,CAT B,920,36330
118,7018.0,7981.0,13748.0,1162.0,1382.0,CAT C,1260,51700
119,9588.0,10711.0,13963.0,1485.0,1787.0,CAT B,800,62950
120,8276.0,11728.0,11932.0,1897.0,2248.0,CAT A,1330,56010
121,7739.0,12930.0,12703.0,1607.0,1927.0,CAT B,940,45080
122,10106.0,13805.0,16769.0,1909.0,2287.0,CAT B,1210,46830
123,8510.0,10891.0,13380.0,1274.0,1503.0,CAT A,660,64750
124,5553.0,13174.0,11586.0,1157.0,1379.0,CAT A,770,80780
125,7522.0,11974.0,11433.0,1712.0,2046.0,CAT C,460,31180
126,8702.0,13088.0,14238.0,1500.0,1798.0,CAT C,860,56710
127,6777.0,9885.0,11064.0,1682.0,2017.0,CAT B,780,49390
128,7944.0,14333.0,12801.0,1441.0,1727.0,CAT A,890,66000
129,1637.0,7315.0,7685.0,1525.0,1835.0,CAT C,900,32770
130,5237.0,9949.0,9116.0,1408.0,1669.0,CAT B,530,46580
131,6567.0,14955.0,13427.0,1947.0,2333.0,CAT A,790,79780
132,7293.0,6919.0,11618.0,1164.0,1390.0,CAT C,370,35510
133,4415.0,9440.0,10672.0,1787.0,2137.0,CAT A,610,80970
134,6873.0,7786.0,9520.0,1871.0,2241.0,CAT B,500,61150
135,6139.0,9882.0,10482.0,1718.0,2051.0,CAT B,750,49210
136,10772.0,9004.0,13291.0,1365.0,1636.0,CAT A,980,79950
137,4233.0,10090.0,11422.0,1368.0,1654.0,CAT A,530,68740
138,7238.0,13882.0,13825.0,1342.0,1595.0,CAT B,910,57480
139,7066.0,15366.0,15721.0,1076.0,1270.0,CAT A,620,72630
140,8353.0,12447.0,12931.0,1396.0,1672.0,CAT B,1170,50070
141,11621.0,14446.0,14609.0,1713.0,2071.0,CAT B,900,40490
142,10831.0,15438.0,16525.0,1370.0,1638.0,CAT B,980,51850
143,7650.0,5591.0,10198.0,1667.0,1993.0,CAT C,740,42840
144,8464.0,14185.0,15235.0,1638.0,1972.0,CAT B,810,60940
145,6502.0,9917.0,10173.0,1581.0,1905.0,CAT B,810,62280
146,4945.0,10098.0,9241.0,1795.0,2187.0,CAT A,300,76530
147,5123.0,8950.0,8719.0,1179.0,1412.0,CAT A,790,85130
148,7540.0,7861.0,10544.0,1978.0,2374.0,CAT B,800,48590
149,3529.0,13267.0,9687.0,1688.0,2042.0,CAT A,760,73080
150,7597.0,10595.0,9399.0,1214.0,1456.0,CAT B,530,48950
151,4198.0,8105.0,7609.0,1504.0,1805.0,CAT C,540,48560
152,9257.0,12705.0,15491.0,1498.0,1770.0,CAT B,620,59380
153,7611.0,8008.0,11018.0,1462.0,1762.0,CAT C,1010,51190
154,9334.0,12267.0,14658.0,1442.0,1750.0,CAT B,130,58920
155,3761.0,8492.0,8590.0,1250.0,1486.0,CAT B,730,50360
156,7738.0,9475.0,14329.0,1229.0,1480.0,CAT C,830,38070
157,5964.0,10763.0,12082.0,1936.0,2300.0,CAT C,1060,49170
158,7032.0,11598.0,12267.0,1369.0,1629.0,CAT C,770,39740
160,10868.0,12273.0,14157.0,1662.0,1986.0,CAT B,70,63730
162,10100.0,11816.0,14994.0,1548.0,1855.0,CAT A,670,85330
163,10967.0,12140.0,14999.0,1649.0,1963.0,CAT C,490,27410
164,11678.0,14658.0,14417.0,1393.0,1663.0,CAT C,670,37320
165,3644.0,10324.0,10264.0,1450.0,1734.0,CAT A,380,71120
166,5595.0,13050.0,12267.0,1613.0,1921.0,CAT A,1200,72800
167,10043.0,12339.0,14476.0,1408.0,1696.0,CAT C,350,34410
168,3050.0,11554.0,8995.0,775.0,932.0,CAT C,1090,42530
169,9487.0,10781.0,15148.0,1275.0,1534.0,CAT A,1230,54300
170,9674.0,12730.0,15159.0,1740.0,2078.0,CAT B,680,50780
171,6373.0,8175.0,9701.0,1372.0,1657.0,CAT B,580,45020
172,6326.0,11417.0,9620.0,1414.0,1723.0,CAT A,680,69600
173,3328.0,6678.0,9320.0,2044.0,2474.0,CAT B,340,80340
174,8509.0,10793.0,11170.0,1823.0,2176.0,CAT B,700,37810
175,9963.0,10658.0,14014.0,955.0,1133.0,CAT C,580,46140
176,5754.0,6031.0,9745.0,1465.0,1763.0,CAT A,680,99570
177,10039.0,8836.0,15253.0,1331.0,1606.0,CAT C,630,38650
178,8738.0,12259.0,15087.0,1232.0,1487.0,CAT C,860,49800
179,5736.0,11309.0,14316.0,1481.0,1765.0,CAT A,490,69910
180,4692.0,5460.0,7531.0,1343.0,1599.0,CAT B,870,44910
181,8391.0,12763.0,15332.0,1539.0,1837.0,CAT A,990,78470
182,9770.0,11006.0,16758.0,1007.0,1207.0,CAT B,670,47460
183,7371.0,9749.0,13443.0,1762.0,2145.0,CAT C,490,33460
184,10662.0,10945.0,13294.0,1527.0,1832.0,CAT C,580,44090
185,5654.0,10609.0,9842.0,1356.0,1619.0,CAT C,700,42620
186,13166.0,11814.0,18307.0,1536.0,1848.0,CAT B,670,69450
187,9255.0,11812.0,14629.0,1605.0,1902.0,CAT B,390,73120
188,4917.0,7195.0,9468.0,1704.0,2032.0,CAT C,590,48300
189,7557.0,9831.0,13403.0,1626.0,1941.0,CAT A,1350,58090
