YearMonth,Sparkling
1980-01,1686
1980-02,1591
1980-03,2304
1980-04,1712
1980-05,1471
1980-06,1377
1980-07,1966
1980-08,2453
1980-09,1984
1980-10,2596
1980-11,4087
1980-12,5179
1981-01,1530
1981-02,1523
1981-03,1633
1981-04,1976
1981-05,1170
1981-06,1480
1981-07,1781
1981-08,2472
1981-09,1981
1981-10,2273
1981-11,3857
1981-12,4551
1982-01,1510
1982-02,1329
1982-03,1518
1982-04,1790
1982-05,1537
1982-06,1449
1982-07,1954
1982-08,1897
1982-09,1706
1982-10,2514
1982-11,3593
1982-12,4524
1983-01,1609
1983-02,1638
1983-03,2030
1983-04,1375
1983-05,1320
1983-06,1245
1983-07,1600
1983-08,2298
1983-09,2191
1983-10,2511
1983-11,3440
1983-12,4923
1984-01,1609
1984-02,1435
1984-03,2061
1984-04,1789
1984-05,1567
1984-06,1404
1984-07,1597
1984-08,3159
1984-09,1759
1984-10,2504
1984-11,4273
1984-12,5274
1985-01,1771
1985-02,1682
1985-03,1846
1985-04,1589
1985-05,1896
1985-06,1379
1985-07,1645
1985-08,2512
1985-09,1771
1985-10,3727
1985-11,4388
1985-12,5434
1986-01,1606
1986-02,1523
1986-03,1577
1986-04,1605
1986-05,1765
1986-06,1403
1986-07,2584
1986-08,3318
1986-09,1562
1986-10,2349
1986-11,3987
1986-12,5891
1987-01,1389
1987-02,1442
1987-03,1548
1987-04,1935
1987-05,1518
1987-06,1250
1987-07,1847
1987-08,1930
1987-09,2638
1987-10,3114
1987-11,4405
1987-12,7242
1988-01,1853
1988-02,1779
1988-03,2108
1988-04,2336
1988-05,1728
1988-06,1661
1988-07,2230
1988-08,1645
1988-09,2421
1988-10,3740
1988-11,4988
1988-12,6757
1989-01,1757
1989-02,1394
1989-03,1982
1989-04,1650
1989-05,1654
1989-06,1406
1989-07,1971
1989-08,1968
1989-09,2608
1989-10,3845
1989-11,4514
1989-12,6694
1990-01,1720
1990-02,1321
1990-03,1859
1990-04,1628
1990-05,1615
1990-06,1457
1990-07,1899
1990-08,1605
1990-09,2424
1990-10,3116
1990-11,4286
1990-12,6047
1991-01,1902
1991-02,2049
1991-03,1874
1991-04,1279
1991-05,1432
1991-06,1540
1991-07,2214
1991-08,1857
1991-09,2408
1991-10,3252
1991-11,3627
1991-12,6153
1992-01,1577
1992-02,1667
1992-03,1993
1992-04,1997
1992-05,1783
1992-06,1625
1992-07,2076
1992-08,1773
1992-09,2377
1992-10,3088
1992-11,4096
1992-12,6119
1993-01,1494
1993-02,1564
1993-03,1898
1993-04,2121
1993-05,1831
1993-06,1515
1993-07,2048
1993-08,2795
1993-09,1749
1993-10,3339
1993-11,4227
1993-12,6410
1994-01,1197
1994-02,1968
1994-03,1720
1994-04,1725
1994-05,1674
1994-06,1693
1994-07,2031
1994-08,1495
1994-09,2968
1994-10,3385
1994-11,3729
1994-12,5999
1995-01,1070
1995-02,1402
1995-03,1897
1995-04,1862
1995-05,1670
1995-06,1688
1995-07,2031
